#{"t_start": 1649571600.107465, "env_id": "SimpleDriving-v0"}
r,l,t
-20.666006,46,11.179409
-12.089085,28,11.200209
-12.223423,31,11.222105
44.715289,26,11.240988
-9.883052,29,11.261847
-10.152364,22,11.282166
44.315223,30,11.306807
-8.672631,31,11.330235
-14.345725,35,11.355903
-6.502361,28,11.378292
45.605657,26,11.397613
-10.128689,34,11.427417
44.527191,27,11.447323
45.945254,26,11.466561
-9.499593,29,11.487061
45.031954,29,11.507975
-11.643885,32,11.529984
44.29906,27,11.550141
-16.710596,36,11.57434
-17.051621,27,11.593971
-13.875667,33,12.267067
-14.376101,26,12.286487
-9.624556,33,12.309087
-11.457058,26,12.328104
-15.794335,37,12.352311
43.916407,32,12.377092
-17.348413,36,12.404139
-12.995746,31,12.427946
-8.538654,33,12.450845
-8.024295,38,12.476661
-9.160156,24,12.495127
46.559173,22,12.512764
-16.398152,33,12.535812
-11.265875,25,12.554838
-13.885261,28,12.574094
44.194543,28,12.593724
-16.605715,33,12.616214
-12.656897,28,12.636512
-22.917069,55,12.669583
-19.277629,37,12.694353
46.25977,24,12.712579
-11.230472,27,12.732227
43.98321,33,12.754799
-22.844068,46,12.790679
-8.376111,29,12.810967
-17.593487,42,12.851601
-14.245467,30,12.87439
45.432282,26,12.894809
-18.643986,40,12.920921
-19.097655,41,12.947007
-11.593478,36,12.972491
-8.920933,35,12.997025
-11.172879,36,13.023461
44.267291,32,13.048281
-18.131214,47,13.078353
-11.196098,36,13.102873
-7.086484,25,13.121631
44.952992,35,13.145557
-10.016621,27,13.164745
-9.890896,36,13.188138
-15.786579,29,13.20834
-11.074089,35,13.231782
45.116064,29,13.251795
-13.658309,36,13.275975
44.778663,28,13.295534
-15.211371,27,13.314798
-21.108619,47,13.344229
-6.49088,26,13.363012
-13.840966,28,13.383656
-22.328827,50,13.414048
-10.749686,34,13.436162
-24.54856,48,13.464928
-11.647192,33,13.490129
-15.838383,38,13.515074
46.56471,26,13.533445
-12.478994,38,13.557381
-16.74016,34,13.579539
45.2199,34,13.604261
-9.153731,26,13.628105
-9.985028,29,13.651148
-13.356483,35,13.676144
-12.30849,27,13.695995
-19.260344,41,14.331019
-7.760631,30,14.351563
-14.894675,31,14.374135
-12.837108,31,14.397319
-7.467629,27,14.416416
46.300587,25,14.434559
-17.785526,35,14.457276
-14.308688,32,14.479063
-13.467778,27,14.498515
-6.011079,24,14.516357
-17.78527,39,14.540986
-11.08175,30,14.561738
-12.120773,29,14.582328
-10.506152,35,14.60786
45.764456,21,14.625678
-11.625081,29,14.645755
-12.398526,26,14.663773
-20.890428,43,14.689975
-14.992464,26,14.70812
43.109887,30,14.727918
45.854074,29,14.747914
-9.221865,28,14.767341
-15.264509,39,14.795386
-8.906396,28,14.814333
-19.236601,37,14.840133
-10.730592,34,14.86699
-17.526499,36,14.894734
-15.993148,31,14.917664
42.976797,38,14.944368
-12.656909,41,14.972146
45.390068,24,14.990019
43.91311,30,15.011202
-14.546964,30,15.031902
45.156788,28,15.052139
-20.408055,37,15.075648
-9.515039,37,15.099259
-8.777866,23,15.116076
-9.493311,30,15.13645
-10.6153,28,15.156152
43.468068,32,15.177273
44.389888,30,15.19726
45.106802,26,15.215639
-14.246603,32,15.236435
-14.29371,34,15.258096
-8.259899,31,15.279451
-15.644365,29,15.298601
-14.940999,36,15.320768
-10.704792,35,15.342832
44.093463,30,15.362319
-13.85222,32,15.384596
-7.945869,27,15.404448
-12.065541,25,15.421886
-12.329198,30,15.446832
45.675347,25,15.466394
-8.83793,25,15.488069
-14.836409,37,15.511839
-9.248175,24,15.529217
42.458775,41,15.555364
43.486603,32,15.576618
45.622114,30,15.597235
-8.259025,24,15.614383
-15.270389,33,15.636042
-12.756396,34,15.658059
-18.57781,32,15.681627
44.211621,28,15.706029
-20.774065,39,15.729728
44.919708,26,16.341583
-11.162777,29,16.361363
-14.549641,32,16.383345
-14.982724,30,16.404665
-16.702721,34,16.427456
-16.799992,35,16.450274
-7.851582,29,16.470618
-11.903568,33,16.492586
-7.827624,26,16.511253
45.29728,33,16.5338
-6.432876,27,16.553039
46.223563,23,16.56967
-12.431761,28,16.588666
-13.957222,31,16.608945
-14.410112,31,16.629472
-16.005235,29,16.649002
-7.965355,29,16.668667
46.036425,24,16.685693
-15.35879,34,16.70766
-16.949538,35,16.729951
-19.587831,32,16.751039
-7.415067,27,16.772755
-9.069805,34,16.794523
-16.744472,31,16.815068
-18.950062,40,16.84059
-16.618134,35,16.862549
44.483972,29,16.885654
43.907807,36,16.912719
-16.35704,34,16.93672
-11.453986,27,16.95716
-6.588584,28,16.976643
-13.69991,29,16.996481
-18.393762,34,17.018703
-15.175279,36,17.041937
-16.014924,35,17.064416
-7.894979,29,17.083737
-7.975897,29,17.10324
44.778601,28,17.121981
-7.436338,25,17.139331
44.570341,30,17.159341
-14.072289,34,17.181097
-11.52004,33,17.201739
-6.000823,24,17.220587
-9.949748,27,17.2489
-11.832582,31,17.274513
-17.833095,35,17.296808
-9.055792,29,17.316583
-12.566006,27,17.335723
-9.38456,24,17.353435
-14.882849,31,17.375035
-8.28115,24,17.3935
44.592327,29,17.4129
-13.374972,25,17.430311
-14.97444,27,17.44842
44.527775,27,17.47028
-12.636664,28,17.489366
-6.156541,25,17.507181
-12.138103,23,17.524323
-6.786741,27,17.543231
-20.433072,39,17.567118
-11.203532,36,17.589314
42.396307,34,17.610606
-12.487609,28,17.629423
