#{"t_start": 1649571591.962805, "env_id": "SimpleDriving-v0"}
r,l,t
-20.54313,40,15.037021
-23.977273,47,15.064569
-18.841391,36,15.086788
-13.850583,36,15.109118
37.416787,38,15.132631
-15.225233,35,15.154822
-14.085523,32,15.175493
-21.592386,44,15.20223
34.491175,43,15.846056
-17.580061,39,15.868919
-23.517975,48,15.89609
-18.854975,36,15.91775
35.875918,37,15.939884
-13.270045,35,15.961104
-16.025539,43,15.986746
-22.827103,40,16.01046
-23.836319,49,16.041143
-23.227118,39,16.065663
-18.327539,39,16.089849
-14.132359,34,16.111034
-23.221877,37,16.133641
-13.334912,33,16.154589
-17.444071,38,16.17782
-15.84705,36,16.20024
36.581516,37,16.228938
37.043786,35,16.254458
-13.996695,37,16.27681
-25.516535,43,16.302123
-23.73955,42,16.327465
34.601865,41,16.351765
-21.482566,37,16.37428
-25.710925,44,16.399848
-21.345655,36,16.421392
-18.544972,41,16.444989
38.168176,33,16.465333
-20.482021,40,16.488924
-18.453616,39,16.511816
-22.023787,43,16.540679
-15.847241,36,16.561619
36.488653,35,16.582486
-28.953192,47,16.610237
-23.077178,45,16.636633
-15.131506,35,16.658385
-21.334277,49,16.686549
36.128894,39,16.70953
-14.609579,34,16.730207
-21.676084,37,16.752931
-18.636954,37,16.775189
-17.637334,40,16.799281
38.547318,33,16.825948
-16.578654,33,16.850557
-14.944286,36,16.874553
-22.43177,37,16.896688
-14.607898,38,16.919808
-14.852377,38,16.943494
37.609664,35,16.965409
-21.036889,43,16.991612
35.160957,45,17.018752
-24.600227,51,17.04958
-14.2764,38,17.072345
-24.92957,47,17.674885
37.392093,37,17.697553
-24.445127,43,17.722507
-14.379723,36,17.744265
-26.768077,52,17.773133
-19.313635,43,17.797705
37.519575,37,17.820114
-24.111847,43,17.844408
38.105299,40,17.868245
-27.75886,40,17.891991
-12.00298,32,17.912294
36.697467,39,17.935444
-24.300562,41,17.959557
35.716872,40,17.983556
-18.164998,43,18.012562
-23.337794,44,18.039618
-21.188016,51,18.070565
-23.621372,47,18.097787
-22.992588,43,18.122525
36.188299,43,18.147699
-14.497268,34,18.168832
-24.387879,51,18.198022
-16.376077,37,18.220619
-24.821599,44,18.246104
35.296245,42,18.270778
38.030859,38,18.294726
-21.507731,36,18.316663
-15.603355,35,18.3378
-16.315537,40,18.361534
-26.540417,54,18.391949
-23.61063,38,18.414475
-22.113391,37,18.436555
-19.615908,38,18.459116
-23.244165,41,18.48319
-16.909335,39,18.506109
-25.289449,46,18.535925
-23.925734,43,18.560251
-17.673738,35,18.580533
-15.318184,40,18.607185
-23.253443,40,18.63749
36.762621,50,18.670852
-18.666846,37,18.693744
-21.941619,37,18.716396
-19.444638,47,18.744354
-14.588667,32,18.764773
-26.685395,46,18.791983
-20.558032,46,18.820812
-21.720697,36,18.846313
-19.837953,44,18.875111
37.46588,36,18.896896
36.938842,39,19.538538
34.649836,41,19.563741
-18.183771,46,19.591088
-16.245009,37,19.614258
36.810734,39,19.638598
-15.362554,38,19.662442
-27.605316,51,19.692106
-21.280581,36,19.714963
34.828139,43,19.740559
-21.53744,47,19.76874
34.167224,45,19.799234
-21.496858,42,19.826986
-16.136225,38,19.858519
37.450027,37,19.886485
-16.317684,43,19.918615
37.6327,35,19.94282
-19.01707,45,19.972599
-21.481177,49,20.002122
-16.549384,37,20.026369
-27.118239,49,20.057293
-20.886557,39,20.081952
-25.464695,47,20.111621
-20.400462,49,20.141118
34.801561,42,20.167324
-18.981069,39,20.192224
37.207187,36,20.215906
-21.312014,49,20.246181
-18.040683,42,20.271953
-23.013503,49,20.301861
-17.837691,40,20.326852
-17.530814,41,20.352974
-23.231259,48,20.3859
-19.325029,42,20.414962
-15.02881,36,20.4381
-23.148271,40,20.463319
-20.085856,41,20.488804
-17.506403,39,20.516932
-21.781747,38,20.543544
-22.986067,45,20.5738
-24.309578,36,20.597026
-23.560491,40,20.621779
-19.913029,39,20.646119
-19.595505,40,20.670998
36.921742,39,20.695482
36.379738,38,20.718573
-22.356141,47,20.746088
-23.256563,46,20.773072
-21.523049,53,20.803104
-19.268677,41,20.828105
-23.841558,45,21.471574
-20.608175,43,21.498116
34.307403,44,21.525761
-19.347808,36,21.548856
-14.119009,36,21.570836
37.291905,37,21.593545
36.671936,38,21.61691
-18.794352,40,21.641679
-19.453614,46,21.668396
-25.74033,43,21.693873
36.206379,46,21.72081
-21.994286,49,21.755439
-18.346495,47,21.787651
35.031298,45,21.816414
-25.51762,50,21.847217
-24.841205,49,21.878247
-24.360989,40,21.904486
-19.999962,48,21.936755
-30.119082,55,21.97328
-24.328542,48,22.003314
-16.42754,35,22.026532
-20.979374,45,22.054541
-17.647233,36,22.07727
-23.46121,55,22.109277
-22.84739,43,22.134636
-23.006128,51,22.164407
-16.823424,44,22.190118
-23.814367,52,22.218948
-18.453237,43,22.243574
-16.294391,35,22.26516
35.40701,40,22.289076
-15.825378,44,22.314716
-16.927708,35,22.335952
-13.853612,37,22.361029
33.977442,46,22.391533
-24.488827,56,22.424865
-18.331542,46,22.4517
-15.167331,40,22.476174
-18.230437,43,22.501918
36.689131,38,22.526814
-26.250958,51,22.557908
-13.639501,31,22.57797
-17.273816,44,22.603781
34.328202,42,22.629139
-18.917038,49,22.657855
-20.946172,44,22.684569
-21.901566,47,23.318778
-24.870779,44,23.344885
32.164236,52,23.374227
-18.488553,49,23.402432
-17.714839,38,23.425788
37.129188,37,23.447996
33.120753,47,23.474816
-18.791918,39,23.497937
-19.748797,54,23.529449
-22.440939,56,23.561158
-18.920181,48,23.595236
-20.088631,50,23.625838
33.582214,50,23.654745
-21.406861,46,23.681733
38.864694,30,23.701178
-22.282548,51,23.729636
-24.92796,53,23.759584
-19.760092,49,23.787463
35.360618,44,23.812408
-13.979116,35,23.839621
-24.675965,40,23.864577
-18.012103,46,23.890468
35.001317,47,23.918145
-19.035044,37,23.941453
34.93819,45,23.967714
-25.229282,52,23.997789
-22.516988,43,24.025407
35.575439,43,24.053952
37.269656,36,24.076885
-21.276309,46,24.103692
-17.492003,43,24.12872
36.473373,41,24.153014
-17.448659,44,24.181664
35.004299,44,24.209581
34.308464,45,24.236566
-22.751152,51,24.266406
-22.751829,49,24.29529
-14.105778,35,24.317255
-18.57649,39,24.341017
-20.556814,43,24.366823
37.573924,34,24.388079
-18.738525,43,24.413349
-21.192266,45,24.44301
-20.848332,46,24.471649
-22.967222,50,24.49971
-18.222128,47,24.528069
-18.139297,40,24.553219
-18.035474,43,25.162915
37.884474,34,25.184292
-19.161712,43,25.209594
-17.926494,33,25.230104
-21.014572,47,25.256687
-26.680106,51,25.285146
-17.361266,50,25.313038
-19.494318,43,25.337488
-19.834606,49,25.374486
-16.381801,40,25.407093
-20.819044,54,25.43905
-18.453129,42,25.464708
-20.112336,46,25.492012
34.228853,43,25.516567
-27.730982,58,25.55083
-21.670367,43,25.576181
-19.837164,45,25.601614
-16.020953,36,25.62394
-27.461378,58,25.656735
36.512229,41,25.681266
-23.972565,51,25.710103
37.137229,39,25.733276
-22.262018,44,25.758427
-20.037422,52,25.786828
34.884835,47,25.813351
-20.781138,48,25.839837
-19.715777,43,25.864487
37.090276,38,25.886986
-16.276095,41,25.91317
-13.158312,35,25.938742
-16.800014,40,25.967912
-24.281348,50,26.001569
-17.701744,45,26.030233
-15.423708,39,26.055571
36.618428,38,26.079244
-23.60818,52,26.108928
-20.700313,41,26.133132
